Name: Gray Slate
Type: rock
Class: Metamorphic
Subclass: Slate
Particle Size: Coarse
Sample No.: slate1
Owner: JHU
Wavelength Range: All
Origin: Sample No. 307, The Hunt and Salisbury Collection at the U.S.Geological Survey, Denver, Co.
Collection Date: N/A
Description: This is a light gray somewhat banded rock.  It is fine-grained to microcrystalline and consists of carbonate, quartz, some feldspar and clay.  Abundant carbonaceous granules are scattered in discontinuous bands throughout the section.Particle size was 500-1500 Micrometer. Original ASTER Spectral Library name was jhu.becknic.rock.metamorphic.slate.coarse.slate1c.spectrum.txt
Measurement: Directional (10 Degree) Hemispherical Reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units:Reflectance (percent)
First X Value: 14.0112
Last X Value:  0.4000
Number of X Values: 2844
Additional Information: none

14.0112	 2.8711
13.9734	 2.8845
13.9359	 2.9086
13.8985	 2.9426
13.8614	 2.9805
13.8244	 3.0154
13.7876	 3.0424
13.7511	 3.0615
13.7147	 3.0773
13.6785	 3.0969
13.6425	 3.1259
13.6067	 3.1644
13.5711	 3.2084
13.5356	 3.2527
13.5004	 3.2912
13.4653	 3.3218
13.4304	 3.3450
13.3957	 3.3639
13.3612	 3.3805
13.3269	 3.3950
13.2927	 3.4075
13.2587	 3.4180
13.2249	 3.4293
13.1912	 3.4453
13.1577	 3.4709
13.1244	 3.5097
13.0913	 3.5603
13.0583	 3.6183
13.0255	 3.6757
12.9929	 3.7240
12.9604	 3.7552
12.9281	 3.7633
12.8959	 3.7444
12.8639	 3.6996
12.8321	 3.6336
12.8004	 3.5556
12.7688	 3.4781
12.7375	 3.4126
12.7063	 3.3661
12.6752	 3.3372
12.6443	 3.3161
12.6135	 3.2879
12.5829	 3.2366
12.5524	 3.1525
12.5221	 3.0348
12.4919	 2.8934
12.4619	 2.7455
12.4320	 2.6112
12.4023	 2.5076
12.3727	 2.4457
12.3432	 2.4275
12.3139	 2.4469
12.2847	 2.4928
12.2557	 2.5519
12.2268	 2.6134
12.1980	 2.6701
12.1694	 2.7204
12.1409	 2.7665
12.1125	 2.8117
12.0843	 2.8596
12.0562	 2.9103
12.0282	 2.9624
12.0003	 3.0132
11.9726	 3.0599
11.9450	 3.1012
11.9176	 3.1381
11.8903	 3.1724
11.8631	 3.2066
11.8360	 3.2424
11.8090	 3.2806
11.7822	 3.3214
11.7555	 3.3633
11.7289	 3.4053
11.7024	 3.4470
11.6760	 3.4891
11.6498	 3.5336
11.6237	 3.5829
11.5977	 3.6391
11.5718	 3.7022
11.5460	 3.7714
11.5203	 3.8441
11.4948	 3.9180
11.4694	 3.9910
11.4440	 4.0621
11.4188	 4.1305
11.3937	 4.1956
11.3688	 4.2566
11.3439	 4.3119
11.3191	 4.3605
11.2944	 4.4026
11.2699	 4.4404
11.2455	 4.4761
11.2211	 4.5121
11.1969	 4.5506
11.1727	 4.5906
11.1487	 4.6301
11.1248	 4.6653
11.1010	 4.6940
11.0773	 4.7143
11.0536	 4.7260
11.0301	 4.7301
11.0067	 4.7289
10.9834	 4.7254
10.9602	 4.7227
10.9370	 4.7246
10.9140	 4.7352
10.8911	 4.7564
10.8682	 4.7883
10.8455	 4.8301
10.8229	 4.8804
10.8003	 4.9373
10.7779	 5.0003
10.7555	 5.0691
10.7332	 5.1443
10.7111	 5.2252
10.6890	 5.3100
10.6670	 5.3974
10.6451	 5.4850
10.6233	 5.5706
10.6015	 5.6527
10.5799	 5.7309
10.5584	 5.8063
10.5369	 5.8812
10.5155	 5.9594
10.4942	 6.0455
10.4730	 6.1415
10.4519	 6.2475
10.4309	 6.3614
10.4099	 6.4794
10.3891	 6.5978
10.3683	 6.7148
10.3476	 6.8303
10.3270	 6.9447
10.3065	 7.0585
10.2860	 7.1711
10.2656	 7.2811
10.2454	 7.3878
10.2251	 7.4899
10.2050	 7.5878
10.1850	 7.6818
10.1650	 7.7728
10.1451	 7.8611
10.1253	 7.9489
10.1056	 8.0385
10.0859	 8.1343
10.0663	 8.2386
10.0468	 8.3534
10.0274	 8.4774
10.0080	 8.6066
 9.9887	 8.7353
 9.9695	 8.8580
 9.9504	 8.9707
 9.9313	 9.0705
 9.9123	 9.1563
 9.8934	 9.2284
 9.8746	 9.2875
 9.8558	 9.3384
 9.8371	 9.3897
 9.8185	 9.4536
 9.7999	 9.5454
 9.7814	 9.6785
 9.7630	 9.8610
 9.7447	10.0933
 9.7264	10.3659
 9.7082	10.6632
 9.6900	10.9661
 9.6719	11.2566
 9.6539	11.5198
 9.6360	11.7456
 9.6181	11.9301
 9.6003	12.0722
 9.5825	12.1737
 9.5649	12.2380
 9.5472	12.2693
 9.5297	12.2734
 9.5122	12.2593
 9.4948	12.2387
 9.4774	12.2256
 9.4601	12.2342
 9.4429	12.2729
 9.4257	12.3418
 9.4086	12.4306
 9.3916	12.5191
 9.3746	12.5837
 9.3577	12.6034
 9.3408	12.5677
 9.3240	12.4811
 9.3073	12.3609
 9.2906	12.2344
 9.2740	12.1301
 9.2574	12.0711
 9.2409	12.0696
 9.2245	12.1260
 9.2081	12.2311
 9.1918	12.3691
 9.1755	12.5244
 9.1593	12.6821
 9.1431	12.8313
 9.1270	12.9636
 9.1110	13.0737
 9.0950	13.1577
 9.0791	13.2142
 9.0632	13.2446
 9.0474	13.2529
 9.0316	13.2458
 9.0159	13.2300
 9.0003	13.2125
 8.9847	13.1972
 8.9691	13.1857
 8.9536	13.1778
 8.9382	13.1718
 8.9228	13.1661
 8.9075	13.1596
 8.8922	13.1512
 8.8770	13.1397
 8.8618	13.1228
 8.8467	13.0984
 8.8316	13.0647
 8.8166	13.0230
 8.8016	12.9769
 8.7867	12.9324
 8.7718	12.8914
 8.7570	12.8471
 8.7422	12.7792
 8.7275	12.6543
 8.7129	12.4361
 8.6982	12.1026
 8.6837	11.6636
 8.6692	11.1707
 8.6547	10.7089
 8.6403	10.3737
 8.6259	10.2395
 8.6116	10.3314
 8.5973	10.6159
 8.5830	11.0109
 8.5688	11.4171
 8.5547	11.7485
 8.5406	11.9531
 8.5266	12.0205
 8.5126	11.9720
 8.4986	11.8435
 8.4847	11.6693
 8.4708	11.4734
 8.4570	11.2687
 8.4432	11.0614
 8.4295	10.8532
 8.4158	10.6472
 8.4022	10.4472
 8.3886	10.2581
 8.3750	10.0854
 8.3615	 9.9340
 8.3481	 9.8076
 8.3347	 9.7093
 8.3213	 9.6402
 8.3079	 9.6002
 8.2946	 9.5880
 8.2814	 9.6016
 8.2682	 9.6387
 8.2550	 9.6969
 8.2419	 9.7725
 8.2288	 9.8596
 8.2158	 9.9493
 8.2028	10.0278
 8.1898	10.0787
 8.1769	10.0849
 8.1640	10.0330
 8.1512	 9.9167
 8.1384	 9.7387
 8.1256	 9.5092
 8.1129	 9.2446
 8.1002	 8.9626
 8.0876	 8.6798
 8.0750	 8.4089
 8.0624	 8.1601
 8.0499	 7.9386
 8.0374	 7.7464
 8.0250	 7.5819
 8.0126	 7.4380
 8.0002	 7.3060
 7.9879	 7.1746
 7.9756	 7.0351
 7.9634	 6.8820
 7.9512	 6.7162
 7.9390	 6.5423
 7.9268	 6.3680
 7.9147	 6.2004
 7.9027	 6.0443
 7.8906	 5.9024
 7.8786	 5.7749
 7.8667	 5.6618
 7.8548	 5.5637
 7.8429	 5.4838
 7.8310	 5.4247
 7.8192	 5.3888
 7.8075	 5.3769
 7.7957	 5.3862
 7.7840	 5.4118
 7.7723	 5.4469
 7.7607	 5.4853
 7.7491	 5.5213
 7.7375	 5.5515
 7.7260	 5.5739
 7.7145	 5.5881
 7.7031	 5.5938
 7.6916	 5.5902
 7.6802	 5.5771
 7.6689	 5.5543
 7.6575	 5.5223
 7.6462	 5.4828
 7.6350	 5.4398
 7.6238	 5.3974
 7.6126	 5.3606
 7.6014	 5.3326
 7.5903	 5.3151
 7.5792	 5.3075
 7.5681	 5.3065
 7.5571	 5.3077
 7.5461	 5.3065
 7.5351	 5.2989
 7.5242	 5.2821
 7.5133	 5.2551
 7.5024	 5.2192
 7.4916	 5.1770
 7.4807	 5.1321
 7.4700	 5.0876
 7.4592	 5.0466
 7.4485	 5.0105
 7.4378	 4.9782
 7.4272	 4.9481
 7.4165	 4.9168
 7.4059	 4.8821
 7.3954	 4.8419
 7.3848	 4.7952
 7.3743	 4.7428
 7.3639	 4.6864
 7.3534	 4.6273
 7.3430	 4.5674
 7.3326	 4.5086
 7.3223	 4.4518
 7.3119	 4.3985
 7.3016	 4.3488
 7.2914	 4.3035
 7.2811	 4.2636
 7.2709	 4.2301
 7.2607	 4.2030
 7.2506	 4.1827
 7.2404	 4.1698
 7.2303	 4.1638
 7.2203	 4.1647
 7.2102	 4.1728
 7.2002	 4.1882
 7.1902	 4.2115
 7.1803	 4.2418
 7.1703	 4.2794
 7.1604	 4.3232
 7.1506	 4.3725
 7.1407	 4.4256
 7.1309	 4.4812
 7.1211	 4.5385
 7.1113	 4.5942
 7.1016	 4.6457
 7.0919	 4.6897
 7.0822	 4.7239
 7.0725	 4.7466
 7.0629	 4.7579
 7.0533	 4.7601
 7.0437	 4.7559
 7.0341	 4.7485
 7.0246	 4.7402
 7.0151	 4.7330
 7.0056	 4.7284
 6.9962	 4.7270
 6.9867	 4.7299
 6.9773	 4.7368
 6.9679	 4.7481
 6.9586	 4.7641
 6.9493	 4.7851
 6.9400	 4.8124
 6.9307	 4.8471
 6.9214	 4.8887
 6.9122	 4.9349
 6.9030	 4.9828
 6.8938	 5.0278
 6.8847	 5.0675
 6.8755	 5.1010
 6.8664	 5.1299
 6.8573	 5.1570
 6.8483	 5.1847
 6.8393	 5.2132
 6.8302	 5.2409
 6.8213	 5.2660
 6.8123	 5.2866
 6.8034	 5.3017
 6.7944	 5.3122
 6.7855	 5.3203
 6.7767	 5.3287
 6.7678	 5.3384
 6.7590	 5.3493
 6.7502	 5.3615
 6.7414	 5.3742
 6.7327	 5.3867
 6.7239	 5.4003
 6.7152	 5.4170
 6.7065	 5.4390
 6.6979	 5.4675
 6.6892	 5.5017
 6.6806	 5.5381
 6.6720	 5.5731
 6.6634	 5.6015
 6.6549	 5.6216
 6.6464	 5.6328
 6.6378	 5.6372
 6.6294	 5.6365
 6.6209	 5.6314
 6.6124	 5.6221
 6.6040	 5.6070
 6.5956	 5.5857
 6.5872	 5.5593
 6.5789	 5.5321
 6.5705	 5.5092
 6.5622	 5.4959
 6.5539	 5.4962
 6.5456	 5.5120
 6.5374	 5.5422
 6.5292	 5.5837
 6.5209	 5.6338
 6.5128	 5.6893
 6.5046	 5.7479
 6.4964	 5.8075
 6.4883	 5.8656
 6.4802	 5.9178
 6.4721	 5.9580
 6.4640	 5.9793
 6.4560	 5.9750
 6.4480	 5.9414
 6.4399	 5.8790
 6.4320	 5.7910
 6.4240	 5.6840
 6.4160	 5.5644
 6.4081	 5.4368
 6.4002	 5.3041
 6.3923	 5.1666
 6.3844	 5.0244
 6.3766	 4.8782
 6.3687	 4.7299
 6.3609	 4.5828
 6.3531	 4.4394
 6.3454	 4.3026
 6.3376	 4.1736
 6.3299	 4.0525
 6.3221	 3.9389
 6.3144	 3.8317
