Name: Chiastolic Slate
Type: rock
Class: Metamorphic
Subclass: Slate
Particle Size: Fine
Sample No.: slate3
Owner: JHU
Wavelength Range: All
Origin: Sample No. 462, The Hunt and Salisbury Collection at the U.S.Geological Survey, Denver, Co.
Collection Date: N/A
Description: This dark lineated rock is composed of porphyroblasts of chiastolic andalusite set in a matrix of angular quartz fragments, abundant carbonaceous granules, and either muscovite or illite (hydromuscovite) with a few biotite grains present as well.  The phyllosilicate shows typical 001 cleavage and nearly parallel extinction, but unlike muscovite the birefringence is gray, possibly due either to the thinness of the crystals or abundant small carbonaceous material.  Particle size was  0-75 Micrometer. Original ASTER Spectral Library name was jhu.becknic.rock.metamorphic.slate.fine.slate3.spectrum.txt
Measurement: Directional (10 Degree) Hemispherical Reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units:Reflectance (percent)
First X Value: 14.9830
Last X Value:  0.4000
Number of X Values: 2868
Additional Information: none

14.9830	 2.4667
14.9400	 2.4823
14.8970	 2.4913
14.8540	 2.4944
14.8120	 2.4896
14.7700	 2.4745
14.7280	 2.4477
14.6860	 2.4110
14.6450	 2.3667
14.6030	 2.3168
14.5620	 2.2623
14.5210	 2.2043
14.4810	 2.1446
14.4410	 2.0887
14.4000	 2.0449
14.3610	 2.0219
14.3210	 2.0269
14.2810	 2.0622
14.2420	 2.1240
14.2030	 2.2029
14.1640	 2.2865
14.1260	 2.3625
14.0870	 2.4210
14.0490	 2.4567
14.0110	 2.4688
13.9730	 2.4610
13.9360	 2.4397
13.8990	 2.4129
13.8610	 2.3881
13.8240	 2.3715
13.7880	 2.3663
13.7510	 2.3724
13.7150	 2.3864
13.6790	 2.4030
13.6430	 2.4155
13.6070	 2.4191
13.5710	 2.4110
13.5360	 2.3916
13.5000	 2.3648
13.4650	 2.3352
13.4300	 2.3082
13.3960	 2.2869
13.3610	 2.2732
13.3270	 2.2656
13.2930	 2.2628
13.2590	 2.2621
13.2250	 2.2623
13.1910	 2.2640
13.1580	 2.2680
13.1240	 2.2763
13.0910	 2.2898
13.0580	 2.3082
13.0260	 2.3296
12.9930	 2.3499
12.9600	 2.3651
12.9280	 2.3708
12.8960	 2.3632
12.8640	 2.3412
12.8320	 2.3054
12.8000	 2.2597
12.7690	 2.2095
12.7370	 2.1614
12.7060	 2.1212
12.6750	 2.0925
12.6440	 2.0759
12.6140	 2.0688
12.5830	 2.0660
12.5520	 2.0622
12.5220	 2.0537
12.4920	 2.0395
12.4620	 2.0222
12.4320	 2.0073
12.4020	 2.0011
12.3730	 2.0089
12.3430	 2.0340
12.3140	 2.0764
12.2850	 2.1335
12.2560	 2.2003
12.2270	 2.2720
12.1980	 2.3440
12.1690	 2.4136
12.1410	 2.4802
12.1130	 2.5455
12.0840	 2.6121
12.0560	 2.6829
12.0280	 2.7608
12.0000	 2.8472
11.9730	 2.9415
11.9450	 3.0414
11.9180	 3.1437
11.8900	 3.2441
11.8630	 3.3389
11.8360	 3.4258
11.8090	 3.5027
11.7820	 3.5695
11.7550	 3.6268
11.7290	 3.6749
11.7020	 3.7145
11.6760	 3.7460
11.6500	 3.7689
11.6240	 3.7841
11.5980	 3.7914
11.5720	 3.7928
11.5460	 3.7895
11.5200	 3.7836
11.4950	 3.7770
11.4690	 3.7708
11.4440	 3.7654
11.4190	 3.7599
11.3940	 3.7540
11.3690	 3.7462
11.3440	 3.7358
11.3190	 3.7218
11.2940	 3.7038
11.2700	 3.6811
11.2450	 3.6531
11.2210	 3.6190
11.1970	 3.5788
11.1730	 3.5326
11.1490	 3.4812
11.1250	 3.4270
11.1010	 3.3718
11.0770	 3.3185
11.0540	 3.2695
11.0300	 3.2261
11.0070	 3.1894
10.9830	 3.1596
10.9600	 3.1354
10.9370	 3.1163
10.9140	 3.1002
10.8910	 3.0867
10.8680	 3.0741
10.8460	 3.0627
10.8230	 3.0523
10.8000	 3.0424
10.7780	 3.0336
10.7550	 3.0258
10.7330	 3.0189
10.7110	 3.0125
10.6890	 3.0073
10.6670	 3.0031
10.6450	 3.0002
10.6230	 2.9995
10.6020	 3.0009
10.5800	 3.0047
10.5580	 3.0099
10.5370	 3.0161
10.5160	 3.0218
10.4940	 3.0258
10.4730	 3.0275
10.4520	 3.0265
10.4310	 3.0227
10.4100	 3.0173
10.3890	 3.0111
10.3680	 3.0054
10.3480	 3.0014
10.3270	 3.0005
10.3060	 3.0028
10.2860	 3.0092
10.2660	 3.0194
10.2450	 3.0329
10.2250	 3.0490
10.2050	 3.0670
10.1850	 3.0857
10.1650	 3.1039
10.1450	 3.1212
10.1250	 3.1369
10.1060	 3.1511
10.0860	 3.1639
10.0660	 3.1755
10.0470	 3.1864
10.0270	 3.1963
10.0080	 3.2055
 9.9887	 3.2138
 9.9695	 3.2205
 9.9504	 3.2250
 9.9313	 3.2271
 9.9123	 3.2266
 9.8934	 3.2240
 9.8746	 3.2200
 9.8558	 3.2162
 9.8371	 3.2148
 9.8185	 3.2179
 9.7999	 3.2283
 9.7814	 3.2472
 9.7630	 3.2761
 9.7447	 3.3140
 9.7264	 3.3592
 9.7082	 3.4087
 9.6900	 3.4587
 9.6719	 3.5049
 9.6539	 3.5435
 9.6360	 3.5717
 9.6181	 3.5875
 9.6003	 3.5908
 9.5825	 3.5823
 9.5649	 3.5634
 9.5472	 3.5373
 9.5297	 3.5084
 9.5122	 3.4819
 9.4948	 3.4644
 9.4774	 3.4625
 9.4601	 3.4828
 9.4429	 3.5300
 9.4257	 3.6050
 9.4086	 3.7062
 9.3916	 3.8274
 9.3746	 3.9603
 9.3577	 4.0938
 9.3408	 4.2186
 9.3240	 4.3259
 9.3073	 4.4107
 9.2906	 4.4716
 9.2740	 4.5097
 9.2574	 4.5291
 9.2409	 4.5345
 9.2245	 4.5303
 9.2081	 4.5199
 9.1918	 4.5054
 9.1755	 4.4879
 9.1593	 4.4673
 9.1431	 4.4434
 9.1270	 4.4164
 9.1110	 4.3865
 9.0950	 4.3543
 9.0791	 4.3202
 9.0632	 4.2857
 9.0474	 4.2516
 9.0316	 4.2191
 9.0159	 4.1897
 9.0003	 4.1642
 8.9847	 4.1429
 8.9691	 4.1253
 8.9536	 4.1104
 8.9382	 4.0960
 8.9228	 4.0803
 8.9075	 4.0614
 8.8922	 4.0372
 8.8770	 4.0079
 8.8618	 3.9735
 8.8467	 3.9349
 8.8316	 3.8942
 8.8166	 3.8532
 8.8016	 3.8134
 8.7867	 3.7753
 8.7718	 3.7372
 8.7570	 3.6960
 8.7422	 3.6479
 8.7275	 3.5885
 8.7129	 3.5158
 8.6982	 3.4319
 8.6837	 3.3434
 8.6692	 3.2600
 8.6547	 3.1939
 8.6403	 3.1558
 8.6259	 3.1520
 8.6116	 3.1828
 8.5973	 3.2415
 8.5830	 3.3168
 8.5688	 3.3962
 8.5547	 3.4675
 8.5406	 3.5233
 8.5266	 3.5610
 8.5126	 3.5821
 8.4986	 3.5906
 8.4847	 3.5927
 8.4708	 3.5927
 8.4570	 3.5944
 8.4432	 3.5998
 8.4295	 3.6093
 8.4158	 3.6230
 8.4022	 3.6410
 8.3886	 3.6626
 8.3750	 3.6882
 8.3615	 3.7182
 8.3481	 3.7533
 8.3347	 3.7943
 8.3213	 3.8416
 8.3079	 3.8959
 8.2946	 3.9565
 8.2814	 4.0223
 8.2682	 4.0908
 8.2550	 4.1585
 8.2419	 4.2205
 8.2288	 4.2717
 8.2158	 4.3067
 8.2028	 4.3214
 8.1898	 4.3127
 8.1769	 4.2793
 8.1640	 4.2215
 8.1512	 4.1421
 8.1384	 4.0453
 8.1256	 3.9366
 8.1129	 3.8217
 8.1002	 3.7059
 8.0876	 3.5942
 8.0750	 3.4895
 8.0624	 3.3943
 8.0499	 3.3090
 8.0374	 3.2332
 8.0250	 3.1658
 8.0126	 3.1051
 8.0002	 3.0492
 7.9879	 2.9962
 7.9756	 2.9453
 7.9634	 2.8955
 7.9512	 2.8470
 7.9390	 2.7996
 7.9268	 2.7544
 7.9147	 2.7123
 7.9027	 2.6739
 7.8906	 2.6400
 7.8786	 2.6111
 7.8667	 2.5874
 7.8548	 2.5692
 7.8429	 2.5571
 7.8310	 2.5510
 7.8192	 2.5507
 7.8075	 2.5557
 7.7957	 2.5650
 7.7840	 2.5773
 7.7723	 2.5912
 7.7607	 2.6057
 7.7491	 2.6199
 7.7375	 2.6334
 7.7260	 2.6459
 7.7145	 2.6580
 7.7031	 2.6694
 7.6916	 2.6805
 7.6802	 2.6909
 7.6689	 2.7009
 7.6575	 2.7101
 7.6462	 2.7186
 7.6350	 2.7269
 7.6238	 2.7350
 7.6126	 2.7435
 7.6014	 2.7532
 7.5903	 2.7641
 7.5792	 2.7764
 7.5681	 2.7899
 7.5571	 2.8044
 7.5461	 2.8191
 7.5351	 2.8330
 7.5242	 2.8463
 7.5133	 2.8584
 7.5024	 2.8695
 7.4916	 2.8799
 7.4807	 2.8901
 7.4700	 2.9008
 7.4592	 2.9124
 7.4485	 2.9249
 7.4378	 2.9386
 7.4272	 2.9531
 7.4165	 2.9680
 7.4059	 2.9832
 7.3954	 2.9976
 7.3848	 3.0118
 7.3743	 3.0256
 7.3639	 3.0391
 7.3534	 3.0523
 7.3430	 3.0658
 7.3326	 3.0796
 7.3223	 3.0940
 7.3119	 3.1092
 7.3016	 3.1248
 7.2914	 3.1414
 7.2811	 3.1584
 7.2709	 3.1759
 7.2607	 3.1939
 7.2506	 3.2117
 7.2404	 3.2287
 7.2303	 3.2441
 7.2203	 3.2574
 7.2102	 3.2676
 7.2002	 3.2745
 7.1902	 3.2778
 7.1803	 3.2775
 7.1703	 3.2749
 7.1604	 3.2702
 7.1506	 3.2645
 7.1407	 3.2586
 7.1309	 3.2531
 7.1211	 3.2486
 7.1113	 3.2446
 7.1016	 3.2411
 7.0919	 3.2375
 7.0822	 3.2342
 7.0725	 3.2311
 7.0629	 3.2287
 7.0533	 3.2273
 7.0437	 3.2280
 7.0341	 3.2309
 7.0246	 3.2359
 7.0151	 3.2430
 7.0056	 3.2522
 6.9962	 3.2631
 6.9867	 3.2763
 6.9773	 3.2917
 6.9679	 3.3100
 6.9586	 3.3313
 6.9493	 3.3552
 6.9400	 3.3815
 6.9307	 3.4087
 6.9214	 3.4360
 6.9122	 3.4620
 6.9030	 3.4857
 6.8938	 3.5075
 6.8847	 3.5281
 6.8755	 3.5484
 6.8664	 3.5702
 6.8573	 3.5939
 6.8483	 3.6195
 6.8393	 3.6458
 6.8302	 3.6716
 6.8213	 3.6955
 6.8123	 3.7168
 6.8034	 3.7358
 6.7944	 3.7531
 6.7855	 3.7692
 6.7767	 3.7850
 6.7678	 3.8002
 6.7590	 3.8149
 6.7502	 3.8284
 6.7414	 3.8407
 6.7327	 3.8523
 6.7239	 3.8634
 6.7152	 3.8750
 6.7065	 3.8876
 6.6979	 3.9008
 6.6892	 3.9134
 6.6806	 3.9245
 6.6720	 3.9333
 6.6634	 3.9401
 6.6549	 3.9458
 6.6464	 3.9520
 6.6378	 3.9596
 6.6294	 3.9690
 6.6209	 3.9799
 6.6124	 3.9908
 6.6040	 4.0003
 6.5956	 4.0076
 6.5872	 4.0136
 6.5789	 4.0190
 6.5705	 4.0256
 6.5622	 4.0346
 6.5539	 4.0462
 6.5456	 4.0602
 6.5374	 4.0747
 6.5292	 4.0886
 6.5209	 4.1019
 6.5128	 4.1151
 6.5046	 4.1301
 6.4964	 4.1481
 6.4883	 4.1699
 6.4802	 4.1945
 6.4721	 4.2193
 6.4640	 4.2414
 6.4560	 4.2575
 6.4480	 4.2667
 6.4399	 4.2691
 6.4320	 4.2674
 6.4240	 4.2648
 6.4160	 4.2641
 6.4081	 4.2665
 6.4002	 4.2712
 6.3923	 4.2764
 6.3844	 4.2793
 6.3766	 4.2781
 6.3687	 4.2722
 6.3609	 4.2624
 6.3531	 4.2506
 6.3454	 4.2383
 6.3376	 4.2267
 6.3299	 4.2158
 6.3221	 4.2047
 6.3144	 4.1924
 6.3068	 4.1784
 6.2991	 4.1627
