Name: Pink Quartzite
Type: rock
Class: Metamorphic
Subclass: Quartzite
Particle Size: Coarse
Sample No.: qtzite3
Owner: JHU
Wavelength Range: All
Origin: Sample No. 379, The Hunt and Salisbury Collection at the U.S.Geological Survey, Denver, Co.
Collection Date: N/A
Description:  A medium-grained quartzite composed of subrounded equant quartz with some secondary silica (chalcedony) and quartz deposition; sometimes the chalcedony is pseudomorphic to quartz grains.  These quartz grains contain numerous fluid inclusions, are often strained and occasionally show pressure solution effects.  Ferric material (plus clay?) is scattered throughout the sample giving this rock its reddish hue. Particle size was 500-1500 Micrometer.   Original ASTER Spectral Library name was jhu.becknic.rock.metamorphic.quartzite.coarse.qrtzit3.spectrum.txt
Measurement: Directional (10 Degree) Hemispherical Reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units:Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4000
Number of X Values: 2868
Additional Information: rock.metamorphic.quartzite.coarse.all.qtzite3.jhu.becknic.ancillary.txt

14.9831	 2.1676
14.9399	 2.0077
14.8970	 2.0151
14.8543	 2.0942
14.8119	 2.3741
14.7697	 2.6365
14.7277	 2.8207
14.6860	 2.8759
14.6445	 2.8600
14.6033	 2.8818
14.5622	 2.9365
14.5214	 3.0556
14.4809	 3.2363
14.4405	 3.2434
14.4004	 3.0151
14.3605	 2.6689
14.3209	 2.3516
14.2814	 2.1782
14.2422	 2.2126
14.2032	 2.3127
14.1643	 2.3923
14.1258	 2.4508
14.0874	 2.4833
14.0492	 2.5285
14.0112	 2.6104
13.9734	 2.7011
13.9359	 2.7795
13.8985	 2.7937
13.8614	 2.8250
13.8244	 2.8875
13.7876	 2.9498
13.7511	 3.0305
13.7147	 3.1103
13.6785	 3.1596
13.6425	 3.2010
13.6067	 3.2380
13.5711	 3.2993
13.5356	 3.3578
13.5004	 3.4026
13.4653	 3.4622
13.4304	 3.5129
13.3957	 3.5456
13.3612	 3.6098
13.3269	 3.7040
13.2927	 3.8194
13.2587	 3.9328
13.2249	 4.0552
13.1912	 4.1869
13.1577	 4.3131
13.1244	 4.4422
13.0913	 4.5966
13.0583	 4.7986
13.0255	 5.0581
12.9929	 5.3916
12.9604	 5.8588
12.9281	 6.4329
12.8959	 7.0571
12.8639	 7.6643
12.8321	 8.1162
12.8004	 8.2653
12.7688	 8.0191
12.7375	 7.4400
12.7063	 6.7239
12.6752	 6.0805
12.6443	 5.6994
12.6135	 5.6762
12.5829	 5.9661
12.5524	 6.3988
12.5221	 6.7488
